portfolio_id,name,state,st_tax_rate,lt_tax_rate,cash,nav,max_weight,max_turnover,max_adv_participation,min_trade_notional,cash_lb,cash_ub
P24,Cascade Balanced,TX,0.32,0.15,1050000,4200000,0.6,1.0,0.25,500,0,1
P25,Redwood Dividend,IL,0.35,0.18,700000,2000000,0.4,1.5,0.2,0,0,0.8
P26,Dunmore Endowment,PA,0.35,0.18,1610000,4600000,0.5,2,0.15,0,0,0.6
P27,Harbor Income,CA,0.37,0.20,2000000,5000000,0.45,1.0,0.3,1000,0,0.8
P28,Sterling Tax-Aware,MA,0.38,0.20,600000,2000000,0.6,1.5,0.25,0,0,0.5
P29,Ashford Reserve,NJ,0.39,0.20,500000,2000000,0.45,2,0.2,500,0,1
P30,Alpha Growth,NY,0.40,0.20,1260000,4200000,0.5,1.0,0.15,0,0,0.6
P31,Ridgeline Core Equity,FL,0.32,0.15,250000,1000000,0.6,1.5,0.3,0,0,0.5
P32,Kestrel Opportunity,WA,0.33,0.15,900000,2000000,0.4,2,0.25,1000,0,0.5
P33,Brightwater Trust,CT,0.38,0.20,980000,2800000,0.5,1.0,0.2,0,0,0.5
P34,Beta Balanced,TX,0.32,0.15,560000,1400000,0.6,1.5,0.15,500,0,0.5
P35,Fairmount Dividend,IL,0.35,0.18,840050,4200000,0.6,2,0.3,0,0,0.5
P36,Marlow Endowment,PA,0.35,0.18,1250050,5000000,0.6,1.0,0.25,0,0,1
P37,Calderon Income,CA,0.37,0.20,1500000,5000000,0.6,1.5,0.2,1000,0,1
P38,Gamma Tax-Aware,MA,0.38,0.20,980000,2800000,0.6,2,0.15,0,0,0.6
P39,Cascade Reserve,NJ,0.39,0.20,980000,2800000,0.6,1.0,0.3,500,0,1
P40,Redwood Growth,NY,0.40,0.20,1500000,5000000,0.5,1.5,0.25,0,0,1
P41,Dunmore Core Equity,FL,0.32,0.15,280000,1400000,0.45,2,0.2,0,0,0.6
P42,Harbor Opportunity,WA,0.33,0.15,700000,3500000,0.6,1.0,0.15,1000,0,1
P43,Sterling Trust,CT,0.38,0.20,1260000,4200000,0.5,1.5,0.3,0,0,0.5
P44,Ashford Balanced,TX,0.32,0.15,840000,2800000,0.5,2,0.25,500,0,1
P45,Alpha Dividend,IL,0.35,0.18,1000000,5000000,0.5,1.0,0.2,0,0,0.8
P46,Ridgeline Endowment,PA,0.35,0.18,840100,2800000,0.4,1.5,0.15,0,0,0.8
P47,Kestrel Income,CA,0.37,0.20,1500000,5000000,0.6,2,0.3,1000,0,0.6
P48,Brightwater Tax-Aware,MA,0.38,0.20,1260000,2800000,0.4,1.0,0.25,0,0,0.5
P49,Beta Reserve,NJ,0.39,0.20,1050050,4200000,0.6,1.5,0.2,500,0,0.8
P50,Fairmount Growth,NY,0.40,0.20,700000,2000000,0.5,2,0.15,0,0,0.5
P51,Marlow Core Equity,FL,0.32,0.15,1400000,3500000,0.45,1.0,0.3,0,0,1
P52,Calderon Opportunity,WA,0.33,0.15,980000,2800000,0.6,1.5,0.25,1000,0,1
P53,Gamma Trust,CT,0.38,0.20,1225000,3500000,0.6,2,0.2,0,0,0.6
P54,Cascade Balanced,TX,0.32,0.15,350000,1000000,0.45,1.0,0.15,500,0,0.8
P55,Redwood Dividend,IL,0.35,0.18,500000,2000000,0.5,1.5,0.3,0,0,1
P56,Dunmore Endowment,PA,0.35,0.18,300000,1000000,0.4,2,0.25,0,0,1
P57,Harbor Income,CA,0.37,0.20,200000,1000000,0.6,1.0,0.2,1000,0,0.6
P58,Sterling Tax-Aware,MA,0.38,0.20,2250000,5000000,0.4,1.5,0.15,0,0,0.5
P59,Ashford Reserve,NJ,0.39,0.20,840100,2800000,0.4,2,0.3,500,0,0.6
P60,Alpha Growth,NY,0.40,0.20,1840000,4600000,0.4,1.0,0.25,0,0,0.8
P61,Ridgeline Core Equity,FL,0.32,0.15,1610000,4600000,0.45,1.5,0.2,0,0,0.8
P62,Kestrel Opportunity,WA,0.33,0.15,1400000,3500000,0.45,2,0.15,1000,0,0.8
P63,Brightwater Trust,CT,0.38,0.20,840000,2800000,0.45,1.0,0.3,0,0,0.8
P64,Beta Balanced,TX,0.32,0.15,1500000,5000000,0.6,1.5,0.25,500,0,1
P65,Fairmount Dividend,IL,0.35,0.18,1250000,5000000,0.45,2,0.2,0,0,1
P66,Marlow Endowment,PA,0.35,0.18,700000,2000000,0.5,1.0,0.15,0,0,1
P67,Calderon Income,CA,0.37,0.20,1500000,5000000,0.45,1.5,0.3,1000,0,0.5
P68,Gamma Tax-Aware,MA,0.38,0.20,1120000,2800000,0.4,2,0.25,0,0,0.6
P69,Cascade Reserve,NJ,0.39,0.20,1840000,4600000,0.4,1.0,0.2,500,0,0.8
P70,Redwood Growth,NY,0.40,0.20,1575000,3500000,0.4,1.5,0.15,0,0,0.5
P71,Dunmore Core Equity,FL,0.32,0.15,1120050,2800000,0.6,2,0.3,0,0,1
P72,Harbor Opportunity,WA,0.33,0.15,700000,2000000,0.6,1.0,0.25,1000,0,1
P73,Sterling Trust,CT,0.38,0.20,1150050,4600000,0.6,1.5,0.2,0,0,0.6
P74,Ashford Balanced,TX,0.32,0.15,400000,1000000,0.45,2,0.15,500,0,0.8
P75,Alpha Dividend,IL,0.35,0.18,980050,2800000,0.5,1.0,0.3,0,0,1
P76,Ridgeline Endowment,PA,0.35,0.18,350000,1000000,0.5,1.5,0.25,0,0,0.8
P77,Kestrel Income,CA,0.37,0.20,1680000,4200000,0.45,2,0.2,1000,0,0.8
P78,Brightwater Tax-Aware,MA,0.38,0.20,350000,1000000,0.4,1.0,0.15,0,0,0.5
P79,Beta Reserve,NJ,0.39,0.20,800000,2000000,0.4,1.5,0.3,500,0,0.8
P80,Fairmount Growth,NY,0.40,0.20,1250000,5000000,0.5,2,0.25,0,0,0.5
P81,Marlow Core Equity,FL,0.32,0.15,800000,2000000,0.4,1.0,0.2,0,0,1
P82,Calderon Opportunity,WA,0.33,0.15,800000,2000000,0.6,1.5,0.15,1000,0,0.6
P83,Gamma Trust,CT,0.38,0.20,1750000,5000000,0.4,2,0.3,0,0,0.6
P84,Cascade Balanced,TX,0.32,0.15,1750000,5000000,0.4,1.0,0.25,500,0,0.8
P85,Redwood Dividend,IL,0.35,0.18,1470000,4200000,0.45,1.5,0.2,0,0,0.6
P86,Dunmore Endowment,PA,0.35,0.18,840000,4200000,0.6,2,0.15,0,0,0.5
P87,Harbor Income,CA,0.37,0.20,1150000,4600000,0.5,1.0,0.3,1000,0,0.6
P88,Sterling Tax-Aware,MA,0.38,0.20,350000,1000000,0.5,1.5,0.25,0,0,0.5
P89,Ashford Reserve,NJ,0.39,0.20,1400000,3500000,0.4,2,0.2,500,0,0.6
P90,Alpha Growth,NY,0.40,0.20,350000,1000000,0.45,1.0,0.15,0,0,0.5
P91,Ridgeline Core Equity,FL,0.32,0.15,1260000,4200000,0.6,1.5,0.3,0,0,0.8
P92,Kestrel Opportunity,WA,0.33,0.15,700000,2000000,0.45,2,0.25,1000,0,0.8
P93,Brightwater Trust,CT,0.38,0.20,400000,1000000,0.45,1.0,0.2,0,0,0.8
P94,Beta Balanced,TX,0.32,0.15,400000,1000000,0.4,1.5,0.15,500,0,0.8
P95,Fairmount Dividend,IL,0.35,0.18,1610000,4600000,0.5,2,0.3,0,0,1
P96,Marlow Endowment,PA,0.35,0.18,1050000,3500000,0.6,1.0,0.25,0,0,1
P97,Calderon Income,CA,0.37,0.20,1610000,4600000,0.45,1.5,0.2,1000,0,0.6
P98,Gamma Tax-Aware,MA,0.38,0.20,600000,2000000,0.4,2,0.15,0,0,1
P99,Cascade Reserve,NJ,0.39,0.20,1400000,3500000,0.4,1.0,0.3,500,0,0.6
P100,Redwood Growth,NY,0.40,0.20,1380000,4600000,0.6,1.5,0.25,0,0,0.8
