portfolio_id,kind,label,params
P4,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P4,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P4,participation_limit,adv,"{""direction"": ""<=""}"
P5,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P5,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P5,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P5,participation_limit,adv,"{""direction"": ""<=""}"
P6,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P6,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P6,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P6,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P6,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P6,participation_limit,adv,"{""direction"": ""<=""}"
P7,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P7,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P7,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P7,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P7,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P7,participation_limit,adv,"{""direction"": ""<=""}"
P8,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P8,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P8,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P8,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P8,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P8,participation_limit,adv,"{""direction"": ""<=""}"
P9,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P9,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P9,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P9,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P9,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P9,participation_limit,adv,"{""direction"": ""<=""}"
P10,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P10,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P10,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P10,participation_limit,adv,"{""direction"": ""<=""}"
P11,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P11,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P11,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P11,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P11,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P11,participation_limit,adv,"{""direction"": ""<=""}"
P12,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P12,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P12,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P12,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P12,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P12,participation_limit,adv,"{""direction"": ""<=""}"
P13,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P13,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P13,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P13,participation_limit,adv,"{""direction"": ""<=""}"
P14,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P14,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P14,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P14,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P14,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P14,participation_limit,adv,"{""direction"": ""<=""}"
P15,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P15,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P15,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P15,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P15,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P15,participation_limit,adv,"{""direction"": ""<=""}"
P16,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P16,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P16,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P16,participation_limit,adv,"{""direction"": ""<=""}"
P17,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P17,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P17,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P17,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P17,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P17,participation_limit,adv,"{""direction"": ""<=""}"
P18,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P18,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P18,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P18,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P18,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P18,participation_limit,adv,"{""direction"": ""<=""}"
P19,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P19,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P19,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P19,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P19,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P19,participation_limit,adv,"{""direction"": ""<=""}"
P20,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P20,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P20,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P20,participation_limit,adv,"{""direction"": ""<=""}"
P21,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P21,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P21,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P21,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P21,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P21,participation_limit,adv,"{""direction"": ""<=""}"
P22,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P22,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P22,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P22,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P22,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P22,participation_limit,adv,"{""direction"": ""<=""}"
P23,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P23,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P23,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P23,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P23,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P23,participation_limit,adv,"{""direction"": ""<=""}"
P24,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P24,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P24,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P24,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P24,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P24,participation_limit,adv,"{""direction"": ""<=""}"
P25,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P25,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P25,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P25,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P25,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P25,participation_limit,adv,"{""direction"": ""<=""}"
P26,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P26,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P26,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P26,participation_limit,adv,"{""direction"": ""<=""}"
P27,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P27,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P27,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P27,participation_limit,adv,"{""direction"": ""<=""}"
P28,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P28,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P28,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P28,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P28,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P28,participation_limit,adv,"{""direction"": ""<=""}"
P29,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P29,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P29,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P29,participation_limit,adv,"{""direction"": ""<=""}"
P30,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P30,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P30,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P30,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P30,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P30,participation_limit,adv,"{""direction"": ""<=""}"
P31,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P31,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P31,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P31,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P31,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P31,participation_limit,adv,"{""direction"": ""<=""}"
P32,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P32,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P32,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P32,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P32,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P32,participation_limit,adv,"{""direction"": ""<=""}"
P33,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P33,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P33,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P33,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P33,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P33,participation_limit,adv,"{""direction"": ""<=""}"
P34,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P34,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P34,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P34,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P34,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P34,participation_limit,adv,"{""direction"": ""<=""}"
P35,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P35,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P35,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P35,participation_limit,adv,"{""direction"": ""<=""}"
P36,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P36,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P36,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P36,participation_limit,adv,"{""direction"": ""<=""}"
P37,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P37,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P37,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P37,participation_limit,adv,"{""direction"": ""<=""}"
P38,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P38,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P38,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P38,participation_limit,adv,"{""direction"": ""<=""}"
P39,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P39,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P39,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P39,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P39,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P39,participation_limit,adv,"{""direction"": ""<=""}"
P40,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P40,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P40,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P40,participation_limit,adv,"{""direction"": ""<=""}"
P41,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P41,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P41,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P41,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P41,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P41,participation_limit,adv,"{""direction"": ""<=""}"
P42,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P42,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P42,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P42,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P42,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P42,participation_limit,adv,"{""direction"": ""<=""}"
P43,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P43,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P43,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P43,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P43,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P43,participation_limit,adv,"{""direction"": ""<=""}"
P44,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P44,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P44,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P44,participation_limit,adv,"{""direction"": ""<=""}"
P45,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P45,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P45,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P45,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P45,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P45,participation_limit,adv,"{""direction"": ""<=""}"
P46,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P46,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P46,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P46,participation_limit,adv,"{""direction"": ""<=""}"
P47,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P47,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P47,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P47,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P47,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P47,participation_limit,adv,"{""direction"": ""<=""}"
P48,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P48,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P48,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P48,participation_limit,adv,"{""direction"": ""<=""}"
P49,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P49,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P49,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P49,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P49,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P49,participation_limit,adv,"{""direction"": ""<=""}"
P50,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P50,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P50,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
