portfolio_id,security_id,lot_id,quantity,avg_cost,acquired_on
P50,B,L1,10000,40,2024-01-15T00:00:00Z
P51,A,L1,14000,100,2024-01-15T00:00:00Z
P51,B,L1,14000,60,2024-01-15T00:00:00Z
P52,A,L1,5600,110,2024-01-15T00:00:00Z
P52,B,L1,25200,40,2024-01-15T00:00:00Z
P53,A,L1,8750,90,2024-01-15T00:00:00Z
P53,B,L1,28000,60,2024-01-15T00:00:00Z
P54,A,L1,2500,110,2024-01-15T00:00:00Z
P54,B,L1,8000,60,2024-01-15T00:00:00Z
P55,A,L1,6000,100,2024-01-15T00:00:00Z
P55,B,L1,18000,40,2024-01-15T00:00:00Z
P56,A,L1,3500,110,2025-11-01T00:00:00Z
P56,B,L1,7000,60,2025-11-01T00:00:00Z
P57,A,L1,4000,110,2024-01-15T00:00:00Z
P57,B,L1,8000,60,2024-01-15T00:00:00Z
P58,A,L1,10000,110,2025-11-01T00:00:00Z
P58,B,L1,35000,40,2025-11-01T00:00:00Z
P59,A,L1,9799,100,2024-01-15T00:00:00Z
P59,B,L1,19600,60,2024-01-15T00:00:00Z
P60,A,L1,11500,110,2024-01-15T00:00:00Z
P60,B,L1,32200,40,2024-01-15T00:00:00Z
P61,A,L1,11500,110,2025-11-01T00:00:00Z
P61,B,L1,36800,60,2025-11-01T00:00:00Z
P62,A,L1,8750,110,2025-11-01T00:00:00Z
P62,B,L1,24500,40,2025-11-01T00:00:00Z
P63,A,L1,11200,90,2024-01-15T00:00:00Z
P63,B,L1,16800,40,2024-01-15T00:00:00Z
P64,A,L1,10000,110,2025-11-01T00:00:00Z
P64,B,L1,50000,40,2025-11-01T00:00:00Z
P65,A,L1,20000,110,2024-01-15T00:00:00Z
P65,B,L1,35000,60,2024-01-15T00:00:00Z
P66,A,L1,4000,100,2024-01-15T00:00:00Z
P66,B,L1,18000,40,2024-01-15T00:00:00Z
P67,A,L1,15000,90,2025-11-01T00:00:00Z
P67,B,L1,40000,40,2025-11-01T00:00:00Z
P68,A,L1,7000,110,2025-11-01T00:00:00Z
P68,B,L1,19600,40,2025-11-01T00:00:00Z
P69,A,L1,11500,110,2024-01-15T00:00:00Z
P69,B,L1,32200,60,2024-01-15T00:00:00Z
P70,A,L1,7000,90,2025-11-01T00:00:00Z
P70,B,L1,24500,40,2025-11-01T00:00:00Z
P71,A,L1,7000,100,2024-01-15T00:00:00Z
P71,B,L1,19599,60,2024-01-15T00:00:00Z
P72,A,L1,8000,100,2024-01-15T00:00:00Z
P72,B,L1,10000,40,2024-01-15T00:00:00Z
P73,A,L1,9200,100,2025-11-01T00:00:00Z
P73,B,L1,50599,40,2025-11-01T00:00:00Z
P74,A,L1,3000,110,2025-11-01T00:00:00Z
P74,B,L1,6000,60,2025-11-01T00:00:00Z
P75,A,L1,8400,100,2025-11-01T00:00:00Z
P75,B,L1,19599,60,2025-11-01T00:00:00Z
P76,A,L1,2000,100,2024-01-15T00:00:00Z
P76,B,L1,9000,60,2024-01-15T00:00:00Z
P77,A,L1,8400,100,2025-11-01T00:00:00Z
P77,B,L1,33600,60,2025-11-01T00:00:00Z
P78,A,L1,3000,100,2025-11-01T00:00:00Z
P78,B,L1,7000,60,2025-11-01T00:00:00Z
P79,A,L1,5000,110,2025-11-01T00:00:00Z
P79,B,L1,14000,40,2025-11-01T00:00:00Z
P80,A,L1,15000,90,2025-11-01T00:00:00Z
P80,B,L1,45000,40,2025-11-01T00:00:00Z
P81,A,L1,5000,90,2024-01-15T00:00:00Z
P81,B,L1,14000,40,2024-01-15T00:00:00Z
P82,A,L1,7000,110,2024-01-15T00:00:00Z
P82,B,L1,10000,60,2024-01-15T00:00:00Z
P83,A,L1,15000,110,2024-01-15T00:00:00Z
P83,B,L1,35000,60,2024-01-15T00:00:00Z
P84,A,L1,17500,100,2024-01-15T00:00:00Z
P84,B,L1,30000,60,2024-01-15T00:00:00Z
P85,A,L1,10500,90,2024-01-15T00:00:00Z
P85,B,L1,33600,40,2024-01-15T00:00:00Z
P86,A,L1,14700,90,2025-11-01T00:00:00Z
P86,B,L1,37800,40,2025-11-01T00:00:00Z
P87,A,L1,13800,100,2025-11-01T00:00:00Z
P87,B,L1,41400,40,2025-11-01T00:00:00Z
P88,A,L1,3500,110,2025-11-01T00:00:00Z
P88,B,L1,6000,40,2025-11-01T00:00:00Z
P89,A,L1,8750,90,2024-01-15T00:00:00Z
P89,B,L1,24500,40,2024-01-15T00:00:00Z
P90,A,L1,2500,90,2025-11-01T00:00:00Z
P90,B,L1,8000,40,2025-11-01T00:00:00Z
P91,A,L1,12600,110,2025-11-01T00:00:00Z
P91,B,L1,33600,60,2025-11-01T00:00:00Z
P92,A,L1,5000,90,2024-01-15T00:00:00Z
P92,B,L1,16000,40,2024-01-15T00:00:00Z
P93,A,L1,2000,100,2025-11-01T00:00:00Z
P93,B,L1,8000,40,2025-11-01T00:00:00Z
P94,A,L1,3500,90,2025-11-01T00:00:00Z
P94,B,L1,5000,40,2025-11-01T00:00:00Z
P95,A,L1,13800,90,2024-01-15T00:00:00Z
P95,B,L1,32200,40,2024-01-15T00:00:00Z
P96,A,L1,12250,90,2025-11-01T00:00:00Z
P96,B,L1,24500,40,2025-11-01T00:00:00Z
P97,A,L1,18400,90,2024-01-15T00:00:00Z
P97,B,L1,23000,40,2024-01-15T00:00:00Z
P98,A,L1,7000,90,2024-01-15T00:00:00Z
P98,B,L1,14000,40,2024-01-15T00:00:00Z
P99,A,L1,8750,90,2024-01-15T00:00:00Z
P99,B,L1,24500,40,2024-01-15T00:00:00Z
P100,A,L1,13800,110,2024-01-15T00:00:00Z
P100,B,L1,36800,60,2024-01-15T00:00:00Z
